,"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
132,"AMBANGANGA KORALE",13,"Ambanganga",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,1,0,1,1,0,2,0,0,13
224,"Ambanpola",14,"Ambanpola",2,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,2,2,0,0,0,20
51,"AMPARA",15,"Ampara",0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,1,4,0,1,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,1,31
228,"Anamaduwa",16,"Anamaduwa",1,0,1,2,0,1,0,5,0,1,0,1,1,0,0,1,2,0,0,1,1,1,0,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,1,0,1,3,38
159,"ANGUNUKOLAPELES",17,"Angunakolapalessa",0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,1,3,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2,2,7,0,0,37
61,,,"Anuradhapu",0,1,3,0,1,1,1,2,1,0,1,2,0,0,0,0,2,0,2,0,0,1,0,2,1,3,2,0,3,5,3,0,3,1,1,0,2,0,1,0,0,0,1,4,2,0,1,1,0,1,5,2,62
255,"Arachchikattuwa",18,"Arachchikattuwa",1,0,0,6,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,3,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,3,0,0,2,0,1,0,1,39
205,"ARANAYAKA",19,"Aranayaka",3,1,1,2,3,0,0,1,0,1,0,0,2,1,0,0,3,0,1,5,5,4,4,6,12,2,3,0,4,6,2,0,6,2,2,0,2,0,3,3,0,0,4,3,8,5,4,2,6,2,9,0,133
47,"ARAYAMPATHY",20,"Arayampathy",0,1,0,0,0,5,0,1,1,1,2,2,1,1,1,3,0,1,1,0,3,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,2,2,0,40
146,"ATTANAGALLA",22,"Attanagalla",8,16,6,15,2,5,10,9,5,4,3,1,4,4,14,2,6,17,16,40,33,36,28,46,20,23,15,21,21,18,4,13,16,2,19,8,15,3,2,10,5,17,2,14,3,13,10,2,9,13,12,13,653
6,"ATHURALIYA",21,"Aturaliya",0,0,2,1,1,1,0,2,0,1,0,0,0,1,3,0,0,1,0,1,1,2,0,4,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,5,2,39
144,"AYAGAMA",23,"Ayagama",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,0,3,2,1,1,1,0,2,2,0,3,2,4,1,1,0,1,0,2,1,1,1,0,0,0,0,2,0,0,1,40
253,"Badalkumbura",24,"Badalkumbura",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,20
200,"BADDEGAMA",25,"Baddegama",4,1,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,2,2,2,2,6,2,3,5,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,51
280,"Badulla",26,"Badulla",3,2,1,0,3,0,2,5,1,6,1,3,0,0,0,0,0,3,1,0,3,3,3,1,7,1,3,3,1,8,5,2,5,4,4,2,9,6,14,10,10,15,13,19,22,55,19,37,41,47,32,36,471
240,"BALANGODA",27,"Balangoda",5,1,1,6,3,3,3,0,1,1,8,2,6,0,3,0,1,1,0,1,1,1,5,8,11,6,2,8,1,2,3,2,0,0,1,0,2,2,0,1,0,4,2,0,3,3,3,1,1,0,0,0,119
251,"BALAPITIYA",28,"Balapitiya",0,2,2,4,0,3,0,0,3,4,2,0,0,1,1,0,1,2,0,0,0,1,0,1,1,0,0,1,4,2,1,3,3,0,4,2,1,2,2,2,2,1,3,4,1,1,1,5,3,4,4,5,89
204,"BAMBARADENIYA",29,"Bambaradeniya",0,4,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,1,1,2,3,4,2,8,2,0,1,0,1,3,0,3,0,1,2,0,3,9,4,3,1,3,2,5,79
194,"Bamunukotuwa",30,"Bamuna",0,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,5,1,0,1,5,0,2,2,0,2,0,0,2,1,1,1,0,1,1,2,1,3,0,5,1,0,2,0,49
2,"BANDARAGAMA",31,"Bandaragama",3,0,7,6,9,8,4,0,3,6,3,4,2,4,6,1,1,1,2,2,5,5,8,11,5,6,9,2,8,4,2,1,2,5,2,3,3,2,3,3,2,3,0,0,4,4,6,2,7,6,6,4,205
168,"Bandarawela",32,"Bandarawela",0,0,1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,3,1,2,8,3,3,0,2,0,3,1,0,4,1,1,0,3,1,0,1,0,5,3,1,0,2,2,0,3,1,1,0,64
134,"BATTICALOA",34,"Batticaloa",1,2,1,3,3,3,2,6,9,6,7,18,16,6,5,5,8,6,1,4,4,4,6,4,6,12,9,7,5,3,2,1,3,0,1,0,1,0,0,3,0,2,0,3,3,1,3,8,10,10,9,18,250
232,"BELIATTA",35,"Beliatta",1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,0,1,4,0,1,3,5,2,1,2,0,3,2,0,0,0,0,0,1,1,3,1,3,2,2,0,4,0,1,0,1,0,53
18,"BERUWALA",37,"Beruwala(North)",14,9,4,5,5,5,0,3,1,8,1,3,3,3,6,0,7,8,2,2,4,33,20,19,8,31,11,21,12,10,7,3,6,6,4,2,1,5,0,0,7,1,7,2,6,1,4,5,5,6,8,2,346
50,"Bibila",38,"Bibile",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,2,0,1,2,0,0,3,0,4,0,0,23
199,"Bingiriya",39,"Bingiriya",6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,1,0,0,1,0,1,0,0,1,1,1,0,4,0,0,2,3,1,0,0,1,1,1,37
3,"BIYAGAMA",40,"Biyagama",7,8,11,6,7,3,5,14,3,5,5,4,2,4,4,1,14,8,4,7,3,17,38,18,0,17,20,7,13,13,16,5,3,14,4,11,6,12,4,12,9,13,13,32,8,13,26,13,8,15,25,9,539
241,,,"Bogawanthalawa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,9
230,"BOPE-PODDALA",42,"Bope-(Podd",0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,0,2,3,1,2,1,2,4,1,0,0,0,0,0,0,0,2,0,3,0,0,4,0,2,1,0,1,1,2,0,0,44
298,"BORALESGAMUWA",43,"Boralesgamuwa",5,9,16,7,6,2,11,11,7,6,6,12,6,4,11,1,3,7,8,18,23,37,24,14,40,27,31,20,25,9,16,7,9,2,10,3,3,5,10,14,9,24,10,10,25,12,17,11,33,8,24,19,687
265,"BULATHKOHUPITIYA",44,"Bulathkohupitiya",0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1,1,4,0,2,2,4,4,1,2,2,2,4,1,1,2,2,2,0,0,0,0,1,0,4,0,2,4,0,2,1,2,1,62
314,"BULATHSINHALA",45,"Bulathsinhala",1,1,0,1,0,0,1,0,1,0,0,2,0,0,1,1,0,1,1,0,0,1,0,1,1,3,1,1,3,0,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,33
23,"Buttala",46,"Buttala",0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,2,0,0,3,0,0,2,0,0,1,2,0,0,0,3,4,2,2,0,1,0,1,0,35
262,"CHANKANAI",47,"Chankanai",0,1,0,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,1,0,1,1,0,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,3,4,2,1,2,4,2,7,51
