,"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
267,"DERANIYAGALA",60,"Deraniyagala",0,3,2,1,0,0,0,0,1,1,0,0,2,0,1,0,4,1,0,0,3,3,2,4,4,6,3,5,1,6,2,3,2,0,2,1,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,72
289,"DEVINUWARA",61,"Devinuwara",0,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,3,2,0,3,4,7,8,3,3,2,1,2,1,3,1,5,2,5,5,6,5,1,2,3,5,4,5,2,1,101
248,"DICKWELLA",62,"Dikwella",1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,7,1,2,4,2,1,1,0,0,1,0,1,4,8,3,1,1,3,0,0,0,0,0,2,1,2,55
147,"DIMBULAGALA",63,"Dimbulagal",0,4,1,0,3,2,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,2,3,3,0,4,7,8,6,3,0,4,1,0,1,0,0,2,2,0,4,2,2,2,2,8,2,3,2,1,2,94
222,"WELIVITIYA-DIVITHURA",326,"Divitura/W",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,4,2,3,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,32
140,,,"Dodamgoda",1,1,2,1,0,3,1,4,1,1,0,2,0,2,0,3,0,4,2,4,3,4,3,10,2,4,2,4,4,0,2,1,0,3,1,0,1,1,2,0,0,0,0,0,2,1,4,1,0,1,4,2,94
89,"DOLUWA",65,"Doluwa",0,0,2,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,1,1,1,0,2,1,3,3,2,1,0,0,2,2,1,0,2,0,3,0,0,1,2,4,0,0,5,3,1,5,4,0,7,64
216,"DOMPE",66,"Dompe",1,9,5,6,2,3,15,0,4,4,0,4,5,1,0,2,2,6,5,1,17,9,12,8,23,17,10,8,10,10,7,1,6,14,9,2,5,7,3,6,6,4,5,13,4,10,3,7,3,2,6,12,334
119,"DIVULAPITIYA",64,"Duvilipitiya",8,6,2,4,8,2,3,4,4,1,1,1,1,2,1,3,4,1,1,0,4,5,3,4,19,12,11,9,10,48,17,21,13,24,21,13,4,8,8,6,10,12,6,9,5,11,3,12,4,8,7,11,415
229,"EHELIYAGODA",68,"Eheliyagoda",1,3,1,1,0,2,1,1,0,2,0,1,0,0,1,1,3,0,0,1,3,1,10,21,19,17,25,12,11,34,9,21,25,9,4,8,8,6,3,10,1,6,7,0,0,5,2,2,4,0,1,4,307
157,"ELAHERA",69,"Elahera",0,0,2,3,2,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,3,2,4,2,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,43
143,"ELAPATHA",70,"Elapatha",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,6,28,3,25,14,7,9,5,7,3,6,11,3,3,8,2,0,2,1,2,0,2,0,2,1,0,1,0,0,1,1,2,161
169,"Ella",71,"Ella",2,2,0,2,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,3,0,0,3,0,1,0,2,0,1,0,0,0,0,3,1,0,0,1,0,4,2,1,0,1,1,2,2,42
221,"ELPITIYA",72,"Elpitiya",3,2,7,2,0,1,3,11,2,1,0,2,3,0,1,2,0,0,2,0,0,2,5,3,2,6,0,8,2,4,0,1,1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,84
264,"EMBILIPITIYA",73,"Embilipitiya",1,0,3,2,1,0,0,2,1,0,4,2,1,2,1,3,1,2,0,1,8,7,7,16,21,10,6,6,5,2,1,1,2,2,1,1,0,2,0,0,6,0,6,5,0,0,7,14,0,13,10,3,189
106,"ERAVUR",74,"Eravoor",0,2,0,0,2,1,2,1,0,3,2,3,6,6,4,2,5,6,9,18,11,13,5,9,14,5,4,2,1,1,0,0,0,1,0,1,1,2,3,1,3,0,1,3,3,9,6,2,8,6,8,9,204
283,,,"Galagedara",0,1,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,3,1,0,1,1,0,0,2,0,0,1,0,1,1,2,2,1,3,2,1,1,0,1,2,0,38
91,,,"Galaha",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,3,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,6,4,0,3,0,29
268,"GALENBIDUNUWAWE",75,"Galenbindunuwewa",1,0,1,0,1,1,2,0,0,1,1,0,2,0,0,2,2,1,0,0,0,0,0,0,0,5,6,1,0,2,1,1,1,2,2,0,1,2,1,1,1,3,0,4,0,1,1,2,2,1,0,2,58
167,"GALEWELA",76,"Galewela",1,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,14,10,5,2,3,2,1,1,1,1,0,0,1,0,0,1,0,0,0,2,0,1,3,2,3,9,3,14,96
107,"Galgamuwa",77,"Galgamuwa",0,2,2,4,2,4,2,1,0,3,2,2,2,2,2,1,1,1,1,0,2,1,4,2,4,10,4,3,3,3,2,0,0,1,2,1,4,2,2,0,0,0,0,3,1,2,5,4,3,0,4,1,107
212,"GALIGAMUWA",78,"Galigamuwa",2,0,1,1,0,1,2,1,0,0,0,2,0,1,0,0,1,2,2,0,3,1,3,8,4,6,5,0,4,3,2,4,3,2,1,0,1,1,2,1,0,2,0,3,2,1,2,2,4,3,1,0,90
15,"GALNEWA",80,"Galnewa",0,1,3,1,0,2,0,1,1,2,0,2,0,1,1,5,4,0,1,0,1,2,5,0,3,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,49
189,"GAMPAHA",81,"Gampaha",21,24,14,20,13,0,14,10,0,8,5,6,4,5,8,0,4,10,8,2,17,19,15,21,18,21,13,16,3,9,7,4,5,11,6,6,8,6,7,10,14,14,15,8,20,14,14,23,11,16,22,12,581
165,,,"Gampola(Ud",0,0,2,2,4,0,4,1,2,2,6,0,0,3,2,0,1,0,1,0,4,1,5,5,7,7,3,8,4,7,5,0,2,2,2,0,5,4,4,1,4,1,2,2,1,3,6,9,4,7,10,8,163
72,"Ganewatta",82,"Ganewatta",0,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,4,1,2,2,2,1,2,4,0,0,0,0,1,2,0,0,2,1,2,1,2,3,0,0,4,0,1,0,47
100,"KANDY FOUR GRAVETS & GANGAWATA KORALE",125,"Gangawatakorale",1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,4,3,5,1,4,4,2,10,2,6,0,1,3,4,5,4,1,3,5,9,2,4,2,3,11,9,5,4,6,1,133
56,"Girandurukotte",84,"Girandurukotte",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7
286,"Giribawa",85,"Giribawa",2,2,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,19
174,"GODAKAWELA",86,"Godakawela",3,0,1,0,2,1,0,1,0,0,0,1,0,2,0,0,1,0,1,1,0,4,3,3,14,2,13,5,5,1,3,5,4,4,4,2,1,5,0,3,1,1,1,0,1,4,3,1,4,0,1,4,116
31,"GORAMANKADAWELA",88,"Gomarankadawala",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,5,0,0,1,0,2,0,1,18
43,"GONAPINUWALA",87,"Gonapinuwala",0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,13
182,"HABARADUWA",89,"Habaraduwa",0,3,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,2,2,0,5,0,5,0,2,0,0,1,0,1,1,0,0,0,1,3,0,0,0,0,1,0,0,1,0,38
192,"HAKMANA",90,"Hakmana",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,1,3,0,0,1,0,1,3,0,0,0,2,4,3,4,1,1,1,0,0,1,36
148,"Haldummulla",91,"Haldummull",2,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,2,3,2,3,1,2,0,0,0,0,0,0,2,0,0,2,0,0,1,4,2,1,1,2,2,0,0,2,43
116,"Haliela",92,"Hali-Ela",0,0,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,3,3,2,1,1,1,0,1,2,2,4,3,0,2,0,1,1,0,2,1,0,1,3,1,4,4,1,12,4,3,8,3,82
80,"HAMBANTOTA",93,"Hambantota",4,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21
275,"HANGURANKETHA",94,"Hanguranketha",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,2,0,0,1,1,6,2,0,1,1,0,2,1,1,0,27
278,"HANWELLA",95,"Hanwella",1,0,8,3,1,1,7,4,3,4,3,4,2,7,11,6,28,37,16,10,21,20,12,22,20,14,19,13,20,10,7,8,12,9,3,12,10,5,5,4,1,7,2,2,2,3,15,2,7,6,7,6,462
149,"Haputhale",96,"Haputale",0,2,2,1,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,4,2,2,1,8,1,3,0,0,3,0,1,1,1,1,3,1,1,2,4,2,2,4,3,1,1,1,2,1,72
84,,,"Hasalaka(M",2,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,1,0,3,1,0,0,0,1,2,0,0,0,0,0,1,1,3,1,1,0,0,0,1,0,1,1,36
282,"HATHARALIYADDA",98,"Hataraliyadda",1,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,24
42,"HIKKADUWA",99,"Hikkaduwa",1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,1,4,1,4,6,5,5,1,0,1,0,0,4,1,0,0,0,5,1,1,6,7,3,9,7,2,1,89
190,"HINGURAKGODA",100,"Hingurakgoda",9,8,4,3,4,4,7,1,1,1,0,0,8,4,2,0,2,1,0,0,6,1,2,7,0,4,0,5,2,4,0,0,0,0,0,2,3,0,0,4,1,4,2,2,0,8,0,1,4,2,3,0,126
101,"HOMAGAMA",101,"Homagama",2,20,13,11,2,5,7,7,7,4,9,8,3,0,2,0,2,15,6,11,7,16,24,10,58,1,15,12,13,14,5,8,5,14,1,5,9,3,3,8,10,7,20,10,4,3,17,12,13,5,11,20,497
163,"HORANA",102,"Horana",7,6,8,10,7,10,1,9,2,7,3,0,3,1,3,0,11,1,5,4,8,7,8,11,18,5,15,5,7,1,2,6,5,1,7,0,5,5,1,3,4,1,5,2,4,6,3,2,8,8,2,1,264
102,"HOROWPOTHANA",103,"Horowpatha",0,2,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,5,13,8,47
276,"Ibbagamuwa",104,"Ibbagamuwa",0,1,1,0,2,2,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,3,2,6,5,6,5,2,3,3,2,3,2,2,0,0,2,7,4,2,2,7,4,0,2,4,3,9,2,3,4,2,114
76,"IMADUWA",105,"Imaduwa",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,17
239,"IMBULPE",106,"Imbulpe",1,2,1,1,3,2,1,0,0,0,0,2,2,0,0,0,1,0,1,0,1,4,4,0,3,4,2,1,0,1,2,1,0,1,0,0,2,0,0,0,0,1,0,1,1,1,3,0,0,0,0,0,50
