"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,"CASE_SUM"
"Badalkumbura",24,"Badalkumbu",0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,2,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,2,1,0,1
"BADDEGAMA",25,"Baddegama",1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,2,4,1,2,4,3,3,0,5,0,0,0,2,1,1,6,4,0,0,2,2,2,0,1,1,0,0,1
"Badulla",26,"Badulla",1,1,1,0,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,6,1,1,1,2,1,0,2,3,2,1,2,1,8,2,3,3,2,0,0,0,4,7,3,5,3,2,3
,,"Bagamwanta",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
"BALANGODA",27,"Balangoda",0,0,3,4,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,3,3,1,1,2,3,0,0,1,2,2,3,0,0,0,0,0,2,1,4,2,0,1,0,3,2,3,1,1,0
"BALAPITIYA",28,"Balapitiya",1,2,2,2,0,2,0,2,0,0,0,0,0,1,2,2,3,1,0,0,1,1,1,1,2,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,2,2,0,1,0,0,2,0,0,0,0
"BAMBARADENIYA",29,"Bambaraden",2,1,1,1,0,0,3,4,0,3,0,0,0,1,1,0,0,0,1,1,0,2,0,0,1,0,0,1,2,1,1,1,1,2,1,1,2,0,0,1,1,2,1,1,0,1,0,1,0,0,1,1
"Bamunukotuwa",30,"Bamunakotu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,3,0,3,1,0,1,0,3,2,0,3,0,4,3,1,1,4,1,0,3,0,4,3,4,4
"BANDARAGAMA",31,"Bandaragam",4,0,2,1,1,4,2,1,0,1,2,0,3,2,0,0,0,0,1,0,1,0,1,2,0,9,3,3,4,5,9,10,1,4,1,0,1,1,0,3,2,0,4,5,1,2,3,1,3,0,2,8
"Bandarawela",32,"Bandarawel",0,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,2,1,2,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"BATTICALOA",34,"Batticaloa",2,12,17,10,5,11,6,11,3,5,6,2,7,3,4,2,0,6,6,5,1,1,5,2,1,1,0,0,0,0,0,0,2,1,2,1,0,0,4,2,2,4,1,1,5,1,10,3,6,4,5,2
"BELIATTA",35,"Beliatta",1,4,1,2,4,2,2,2,2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,2,0,1,3,1,2,4,2,1,3,0,2,0,0,1,0,2,2,3,2,3,0,2,0,1,0,0,0,0
"BERUWALA",37,"Beruwala(N",5,7,1,11,12,5,5,4,5,5,5,5,2,7,3,1,4,6,12,4,8,3,4,4,8,18,24,10,6,11,14,5,8,2,4,5,5,4,3,2,5,4,0,1,3,3,5,5,15,4,8,2
"Bibila",38,"Bibile",1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,0,0,1,0,3,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0
"Bingiriya",39,"Bingiriya",2,1,2,0,0,2,2,0,1,0,1,0,0,0,0,1,1,0,0,2,0,1,0,3,1,0,0,0,0,1,2,5,1,0,0,0,0,0,1,0,0,0,1,1,0,2,0,2,2,1,2,4
"BIYAGAMA",40,"Biyagama",13,10,19,4,15,5,8,3,3,4,4,1,8,3,0,17,3,18,7,17,20,25,12,34,42,17,25,46,19,9,12,5,11,7,6,7,14,4,2,2,7,7,3,9,10,8,5,3,3,3,1,3
"BOPE-PODDALA",42,"Bope-(Podd",4,2,0,3,3,2,1,0,5,0,0,0,1,1,0,4,0,1,0,1,0,1,4,0,2,1,5,0,2,0,2,2,4,1,2,6,0,0,0,0,1,0,0,1,1,0,2,1,1,1,0,0
"BORALESGAMUWA",43,"Boralesgam",2,5,8,2,2,4,2,3,6,2,6,0,1,0,0,0,1,3,2,2,4,1,3,3,2,4,6,16,8,12,7,7,9,14,11,5,4,6,6,6,8,6,6,7,12,6,4,3,3,1,2,1
"BULATHKOHUPITIYA",44,"Bulathkohu",0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,5,0,3,3,4,3,1,5,3,3,1,0,4,1,2,0,0,1,1,0,0,1,1,0,0,1,1,1,0,2,0,2,1
"BULATHSINHALA",45,"Bulathsinh",0,3,0,0,1,0,0,1,4,0,0,1,0,0,4,2,4,1,2,3,1,1,3,2,2,4,5,4,4,1,0,3,7,2,2,5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Buttala",46,"Buttala",0,0,0,0,2,4,2,3,1,1,0,0,1,0,1,0,1,1,2,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
"CHANKANAI",47,"Chankanai",0,0,0,2,1,0,0,0,0,2,1,0,3,1,0,0,0,0,0,1,2,0,1,0,0,1,0,1,2,2,0,1,0,0,0,0,2,0,0,0,0,0,1,1,1,2,1,5,2,4,2,1
"CHAVAKACHCHERI",48,"Chavakachc",1,1,4,2,0,0,1,0,2,3,0,0,1,0,1,1,0,0,1,2,0,0,0,0,3,3,1,1,0,3,0,0,0,2,1,2,1,1,0,0,3,8,7,6,6,9,6,13,18,5,11,6
"CHEDDIKULAM",49,"Cheddikula",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CHENKALADY",50,"Chenkalady",10,3,7,10,6,2,4,0,2,3,1,4,1,1,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,5,0,1
"Chilaw",51,"Chilaw",5,2,3,5,6,3,2,2,4,3,0,0,1,0,1,1,0,0,0,4,5,0,0,3,3,1,0,3,2,4,2,0,3,2,2,5,0,0,0,1,3,4,5,3,4,4,1,10,18,23,15,7
"DAMBULLA",54,"Dabmulla",1,2,0,0,3,2,4,0,0,2,0,0,2,0,0,1,0,0,1,1,0,1,0,2,1,1,2,1,0,0,0,3,0,1,0,1,4,0,1,1,0,1,0,0,0,1,1,1,6,4,0,6
"DAMANA",53,"Damana",0,0,2,2,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,0,1,0,2,4,1,2,0,2,0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,0,1,0,0,0
"Dankotuwa",55,"Dankotuwa",1,4,4,2,1,0,1,0,0,2,1,0,0,3,1,2,1,3,0,0,1,1,2,1,0,4,0,4,4,4,1,5,8,18,7,4,8,5,4,2,3,7,3,4,2,3,7,3,7,7,2,1
"DEHIYATHAKANDIYA",58,"Dehiattaka",1,1,0,1,0,0,2,0,0,1,1,0,0,1,1,0,2,4,6,3,0,2,0,0,0,1,3,0,5,2,0,3,0,0,1,0,3,0,0,0,3,3,1,0,0,0,0,1,0,0,0,1
"DEHIOVITA",56,"Dehiowita",0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,0,2,2,1,1,1,4,3,6,3,3,5,6,2,6,2,3,2,3,1,5,1,1,2,5,7,1,0,0,6,2,1,1,3,5,1
"DEHIWALA",57,"Dehiwala",22,37,52,18,43,14,34,15,18,21,10,16,5,10,1,17,4,8,6,33,10,22,48,35,26,26,68,33,47,44,40,28,46,24,12,16,22,13,24,29,31,37,15,23,26,27,10,19,21,21,32,12
"DERANIYAGALA",60,"Deraniyaga",2,2,2,1,1,0,3,3,0,1,0,2,2,1,2,3,1,1,1,0,4,6,4,9,13,8,5,6,6,7,14,9,7,5,0,5,6,2,2,1,6,1,2,1,0,1,0,1,1,0,2,1
"DEVINUWARA",61,"Devinuwara",0,3,1,5,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,1,1,1,0,2,0,4,3,7,1,2,2,0,1,0,0,1,1,1,1
"DICKWELLA",62,"Dikwella",2,4,6,0,6,1,4,3,2,0,2,0,4,1,0,1,4,0,5,5,2,3,1,2,1,0,4,0,4,2,2,1,1,0,4,1,1,1,2,4,2,0,1,7,1,5,2,1,2,1,1,1
"DIMBULAGALA",63,"Dimbulagal",1,0,4,0,3,0,3,0,1,1,0,1,2,1,0,1,1,2,0,3,0,2,2,1,1,1,1,0,2,1,2,2,0,3,0,0,1,0,1,0,0,1,0,0,2,2,2,0,2,3,1,0
"WELIVITIYA-DIVITHURA",326,"Divitura/W",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0
,,"Divulapiti",3,14,11,14,10,7,3,15,6,3,8,3,4,1,2,3,2,3,3,4,4,13,17,8,16,16,14,18,10,32,26,24,26,26,16,13,9,5,10,7,10,4,9,6,2,7,3,2,1,4,2,2
,,"Dodamgoda",1,2,5,1,3,6,7,2,2,2,3,0,3,7,0,8,3,2,3,1,2,1,4,8,5,2,11,2,0,1,2,3,3,1,0,1,1,2,1,2,0,0,0,1,0,0,1,0,2,3,0,0
"DOLUWA",65,"Doluwa",3,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,1,0,5,2,1,1,0,2,0,2,0,1,2,2,1,2,5,1,1,3,2,0,1,1,2,0,1,0,0,0,3,0,0
"DOMPE",66,"Dompe(Kiri",15,15,3,17,22,7,6,13,15,8,8,15,8,10,8,12,24,10,0,13,11,16,22,50,23,21,15,18,34,16,6,11,34,30,13,1,11,6,11,11,7,9,11,6,10,9,4,8,5,5,1,7
"DIVULAPITIYA",64,"Echilampat",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EHELIYAGODA",68,"Eheliyagod",0,0,2,5,2,0,3,1,0,0,2,1,0,0,0,1,3,0,0,10,1,4,5,9,24,13,17,8,10,9,7,9,29,13,11,27,1,9,9,9,3,4,3,1,1,2,6,1,0,4,1,0
"ELAHERA",69,"Elahera",0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,2,1,0,3,0,4,2,1,0,4,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,1,0
