,"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,"CASE_SUM"
147,"DIMBULAGALA",63,"Dimbulagal",0,0,2,4,1,1,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,1,1,0,1,0,1,6,0,3,6,9,6,3,2,11,5,2,0,1,2,1,0,0,3,1,3,2,1,0,3,1,90
222,"WELIVITIYA-DIVITHURA",326,"Divitura/W",0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,19
140,,,"Dodamgoda",2,0,2,7,0,6,0,0,0,0,2,7,2,0,1,2,0,1,0,1,0,3,0,3,0,0,0,1,1,1,0,0,2,0,0,2,2,0,1,0,2,2,3,1,0,3,0,0,0,2,1,2,65
89,"DOLUWA",65,"Doluwa",0,0,0,5,0,1,1,1,1,2,3,1,0,0,1,0,2,0,1,0,0,0,2,1,2,0,2,2,1,1,4,2,2,5,1,2,1,0,1,1,0,0,0,0,0,2,3,1,1,2,1,1,60
216,"DOMPE",66,"Dompe",9,6,11,2,4,6,3,6,0,4,5,2,1,5,1,7,7,7,5,6,9,3,2,3,5,7,4,3,4,6,4,2,9,4,2,5,3,4,3,1,3,2,2,2,4,0,3,4,4,2,2,0,208
119,"DIVULAPITIYA",64,"Duvilipitiya",24,3,1,2,2,7,4,3,0,8,5,1,4,5,0,5,1,1,4,1,3,4,7,0,3,1,5,6,6,2,4,1,1,9,4,4,6,5,6,0,1,3,5,2,7,0,0,0,2,5,1,2,186
229,"EHELIYAGODA",68,"Eheliyagoda",2,1,3,1,1,1,4,1,4,2,3,3,0,1,0,5,2,0,5,1,2,4,0,1,3,1,2,4,2,6,7,7,1,3,1,2,2,0,1,0,1,0,4,3,0,0,3,0,0,3,0,5,108
157,"ELAHERA",69,"Elahera",1,0,0,5,0,0,0,0,0,5,1,2,0,0,1,4,0,1,2,0,0,0,0,1,0,0,1,2,3,0,2,3,1,0,0,5,0,0,6,0,0,1,0,0,0,1,0,0,4,3,0,6,61
143,"ELAPATHA",70,"Elapatha",5,0,0,4,2,2,4,3,7,2,1,4,0,9,1,0,10,3,10,5,3,5,6,0,5,2,1,2,9,1,1,0,1,6,2,0,2,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,123
169,"Ella",71,"Ella",0,1,2,4,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,20
