"cell","resident","work"
22955,3363,548
22963,819,177
22966,2337,418
23120,40,1234
23124,5960,1166
23125,2103,337
23131,3935,629
23138,1639,334
23169,943,416
23194,962,112
23216,380,83
23370,2760,3178
23371,7458,2240
23379,11308,2283
23386,3306,786
23388,11410,5708
23427,5975,2025
23621,1425,284
23627,2418,282
23635,1029,366
23641,164,57
23662,2033,450
23669,910,154
23690,1262,278
23744,708,178
23750,141,40
23872,340,96
23873,1629,521
23875,4464,766
23881,2530,492
23894,4611,1854
23896,1825,382
23907,949,149
23925,1799,468
23973,376,104
24005,2754,867
24009,559,77
24032,766,99
24122,1577,253
24123,4777,662
24149,1820,767
24247,225,85
24251,2992,618
24265,73,27
24266,1174,263
24373,1848,561
24374,6942,1655
24380,51,27
24381,3815,638
24383,1015,185
24387,5409,620
24402,4345,921
24405,3351,864
24423,135,38
24623,5258,940
24626,1579,288
24643,2773,323
24732,187,36
24734,632,236
24739,446,105
24774,195,67
24775,3030,721
24781,1755,156
24837,1434,130
24874,1831,505
24877,771,140
24879,2710,698
24880,618,228
24895,1937,271
24920,3452,418
24990,52,19
24991,2123,572
24993,602,468
25124,1942,899
25125,2468,1209
25126,1091,274
25129,96,33
25130,4530,965
25132,3223,497
25136,4121,1298
25138,1020,167
25141,2235,318
25179,3089,1168
25187,2208,198
25375,1127,253
25376,1445,816
25377,7644,1382
25379,4191,834
25385,3218,519
25395,5871,1580
25400,1619,222
25405,1223,257
25412,966,144
25427,1113,192
25626,7740,2117
25627,2058,1271
25628,807,191
25629,1760,1478
25632,702,341
25633,6200,1723
25642,4091,664
25715,3300,545
25747,4173,1270
25763,106,35
25876,1425,202
25877,4048,2622
25878,1258,459
25881,3321,975
25882,1908,2080
25886,1803,325
25888,2026,288
25926,3490,613
25997,1979,793
26005,3763,935
26035,785,124
26127,1351,457
26129,781,870
26130,5841,3747
26133,2648,582
26135,2676,535
26136,752,191
26138,2055,863
26139,2043,522
26141,2459,406
26148,1436,254
26168,554,88
26378,5591,1309
26379,6103,3364
26380,2740,2296
26381,31,1258
26382,3636,746
26383,1415,990
26385,2307,433
26386,3088,491
