"cell","resident","work"
53797,1593,369
53810,2988,240
53822,1212,247
53864,898,168
53927,6322,1398
54038,359,69
54071,1555,330
54234,1581,327
54281,651,241
54284,2224,606
54327,96,24
54334,47,11
54349,579,69
54427,10235,1249
54503,1758,231
54510,956,106
54520,1739,292
54550,1445,298
54578,821,153
54678,481,60
54828,8,6
54983,2913,211
54996,862,158
55070,4939,408
55329,197,92
55331,2961,654
55535,1902,222
55633,4587,755
55680,4738,648
55761,3302,949
55831,3643,1310
55832,1066,1412
55838,30,10
55845,1971,124
56106,1151,155
56493,2109,493
56571,701,104
56586,105,25
56587,418,129
56591,1663,261
56738,1657,192
56835,716,95
56882,1500,194
56887,44,29
56888,862,435
56933,16158,1415
56934,8857,1817
57042,2676,485
57062,2490,290
57189,3628,595
57261,1788,227
57329,1091,196
57342,1341,440
57376,8,7
57378,3084,690
57380,1046,866
57397,1090,238
57440,8,13
57495,948,152
57523,2708,353
57555,4913,630
57597,1568,276
57613,268,63
57615,415,76
57628,3269,1661
57631,4865,1196
57823,1206,258
57837,3047,426
57851,604,237
57852,404,56
57906,2339,612
58179,1295,233
58251,4840,583
58421,3803,624
58511,519,96
58632,1797,399
58744,965,135
58802,277,83
58814,2208,248
58879,1348,221
58892,884,123
59010,1538,341
59043,513,94
59104,1152,151
59125,2770,670
59134,716,228
59285,1329,364
59329,1415,168
59555,4563,997
59635,1437,204
59745,968,348
59927,1198,118
59941,1221,253
60008,11638,2001
60011,1890,359
60114,437,45
60141,1065,190
60147,1193,274
60331,1342,296
60344,5592,1308
60350,792,81
60578,1387,292
60593,67,36
60613,3406,401
60630,3477,596
60635,1524,1106
60649,398,129
60750,2445,271
60774,1742,214
60819,878,188
60880,1354,245
60888,4153,608
61062,608,115
61110,1273,184
61263,455,66
61343,1062,138
61591,1386,257
61597,483,98
61654,1616,269
61818,2337,332
62077,1311,193
62104,2925,253
62135,605,55
62140,3008,363
62252,NA,1
62558,657,149
62589,2938,387
62757,2996,192
62772,2062,251
62850,1642,270
62948,3335,437
63044,914,176
63153,542,115
63383,182,37
63397,489,198
63398,2117,665
63407,617,100
63574,4493,1223
63586,2708,596
63816,1973,301
64102,326,70
64150,2134,222
64200,770,265
64515,2794,179
64529,849,144
64573,1777,237
64581,316,63
64815,1840,240
64915,2091,173
65059,1901,291
65144,57,17
65320,565,95
65375,529,88
65454,2089,296
65528,324,29
65607,1290,262
65774,5308,510
65838,4088,804
66068,433,120
66084,1524,162
66151,267,22
66353,1650,155
66538,376,68
66575,2086,561
66637,1087,144
66827,1497,263
66870,2885,282
67110,956,183
67207,2643,419
67335,853,188
67385,1709,499
67599,1195,212
67601,220,50
67602,1247,172
67698,610,68
67824,635,85
67842,1157,196
67854,2327,596
67855,2722,661
67918,1173,116
68103,3682,1503
68104,1026,422
68110,55,9
68111,1279,211
68349,4295,597
68354,1924,2713
68356,1516,1147
68454,1926,455
68455,134,30
68587,656,112
68857,480,767
68858,2335,3185
68897,1727,172
68924,4697,736
68930,424,100
69190,699,84
69206,903,155
69359,882,328
69371,2802,906
69455,2066,177
69582,765,87
69613,3508,699
69676,1618,309
70115,1288,203
70132,1048,171
70181,182,57
70342,450,60
70352,533,134
70360,1645,200
70374,417,81
70440,938,133
70462,6500,1046
70619,1047,169
70659,942,129
70715,1129,151
70903,1726,283
70934,134,46
70961,525,60
71122,109,29
71187,5193,528
71399,3788,646
71601,471,60
71629,1050,330
71888,753,153
71961,123,37
71964,8577,866
72201,1885,309
72218,1143,144
72345,2446,230
72367,590,102
72407,773,118
72416,1022,75
72706,2171,276
72894,1730,201
73104,1628,232
73135,2024,263
73211,12272,1311
73223,759,151
73451,3741,531
73460,2031,227
73461,1682,368
73557,1110,135
73669,1555,200
74158,1222,170
74216,2228,497
74388,2967,935
74396,1619,205
74466,1482,453
74467,60,21
74638,522,204
74677,3091,724
74678,89,38
74711,786,240
74721,1194,512
74962,73,24
74968,339,108
74973,3181,507
75224,2306,941
75329,2908,213
75386,973,152
75424,1554,131
75436,1175,182
75475,7017,2581
75619,1955,296
75721,228,152
75722,3345,1019
75724,4705,817
75725,1752,523
75726,329,211
75727,2171,1480
75974,3412,835
75975,1793,592
76133,1796,229
76227,2063,460
76393,2365,415
76473,1164,343
76477,1800,344
76654,1475,167
76728,19,4
76959,2669,354
77169,1383,511
77230,166,43
77381,2031,498
77458,166,24
77641,1594,256
77942,3117,290
77981,1040,235
78205,1038,154
78418,447,60
78654,4055,772
78733,742,148
78881,1896,224
78896,897,135
78909,2556,363
78983,314,100
79234,60,22
79379,453,45
79394,1095,157
79484,1422,88
79712,75,14
79911,4200,911
79915,1204,250
80160,4973,686
80161,4247,593
80193,928,198
80352,1749,254
80397,1661,262
80406,3251,520
80411,909,140
80412,1079,532
80413,8632,7227
80420,1351,312
80485,1467,141
80635,1126,120
80659,6993,1480
80663,3311,1231
80664,1690,2056
80703,408,43
80877,249,133
80916,6137,807
81163,2177,458
81164,4499,754
81354,1692,205
81363,754,118
81390,215,30
81625,1124,108
81651,635,45
81899,2020,165
82135,257,25
82168,167,59
82169,1711,326
82237,780,144
82613,3328,533
82622,3192,578
82664,4438,670
82892,1137,132
82951,838,175
83410,779,154
83489,740,64
83735,1225,121
83865,1581,252
84123,1843,310
84179,3068,717
84207,57,11
84212,994,186
84221,500,105
84366,268,56
84689,662,159
84712,517,138
84902,749,58
85474,786,151
85487,436,130
85620,3561,1142
85705,2131,335
85715,1310,300
85738,842,182
86440,1834,325
86622,4903,2534
86623,2362,742
86672,1088,120
86873,2822,512
86895,2011,354
87121,730,86
87227,852,178
87460,391,54
87690,14,5
87873,2084,206
88242,1114,177
88463,3689,546
89120,392,46
89152,1901,274
89175,2083,237
89198,2908,371
89615,148,16
89625,4609,386
90116,1847,165
90183,4615,658
90497,961,99
90699,2620,483
90719,1032,288
91200,189,52
91432,204,52
91684,3627,688
91713,618,149
91744,3319,272
92233,6370,824
93205,339,80
93244,7793,764
93252,1159,155
93463,237,43
93675,4063,509
93944,1226,126
94431,2547,344
94710,1489,249
94755,8274,1676
94997,797,142
95000,2907,352
95707,1279,276
95949,3578,530
96188,1366,208
96225,2232,317
96249,11298,1376
96468,394,73
96486,1377,274
96718,8314,1600
96972,983,222
96995,8175,936
97251,803,59
97440,1718,132
97471,7460,2391
97969,8203,1123
97990,6661,1272
98224,468,402
98229,3048,776
98450,806,172
98475,9007,4246
98739,6132,914
99256,379,68
99468,1051,221
99730,2045,284
101215,4109,620
101911,1392,168
101912,672,114
101989,135,31
102999,2862,260
103242,4164,616
103431,1832,239
104177,1831,206
104221,17,6
104239,5522,981
104701,1375,156
104984,351,66
105196,3991,771
105219,2155,327
105460,6673,826
105461,5394,1773
105481,1246,117
105489,470,112
105709,3622,1941
105710,2816,1554
105711,2553,1284
105712,1106,227
105713,4727,878
105715,162,56
105726,3025,927
105727,5427,1995
105736,2483,446
105960,120,93
105961,7745,9525
105962,578,253
105963,2791,1162
105964,3555,754
105975,3333,270
106195,2154,466
106213,4182,1307
106214,3125,1096
106215,553,85
106221,4655,987
106231,3252,429
106232,364,91
106234,2233,436
106235,3578,945
106237,29,16
106446,212,72
106447,781,378
106462,1784,225
106463,3362,683
106465,5347,2726
106466,1944,335
106467,3105,661
106480,184,30
106712,5726,619
106717,2808,667
106718,375,76
106741,1436,168
106958,2736,237
106964,897,148
106965,6646,1254
106966,500,128
106967,510,146
106971,4543,848
106983,1945,204
106997,1143,426
107200,1759,380
107212,3591,362
107219,7055,923
107240,388,73
107460,317,70
107465,4313,1203
107466,5128,746
107468,4612,1205
107491,2363,339
107711,3582,550
107725,267,29
107726,1897,272
107954,1793,435
107966,965,273
107971,2632,1347
107979,637,92
107993,1165,171
108205,1347,227
108211,2485,277
108214,8850,1109
108215,1050,670
108217,5002,658
108219,163,26
108220,2148,322
108222,4399,1347
108225,10369,1398
108230,6757,886
108454,216,37
108463,122,11
108499,1164,140
108717,1179,298
108722,4720,634
108724,4051,593
108733,2292,457
108968,1019,300
108975,523,279
108984,285,60
108985,2413,665
109216,2045,243
109219,2294,210
109222,4261,557
109227,3069,857
109231,4017,558
109236,2128,290
109245,220,88
109473,319,62
109487,290,36
109494,4212,516
109495,1495,463
109496,1601,1151
109497,17,23
109742,1391,146
109744,1357,237
109748,6157,1169
109750,3814,958
109980,3820,589
109991,231,34
109994,8527,913
109998,493,65
110001,5240,1084
110243,2043,193
110247,1992,192
110249,3837,343
110251,1394,174
110253,2507,908
110254,3934,345
