"moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"Seeduwa",7,10,4,3,6,7,4,4,2,0,7,7,0,0,0,0,3,0,1,2,2,1,2,3,6,5,3,0,1,44,1,16,0,4,4,4,24,3,25,7,13,7,20,7,9,6,6,12,13,6,0,1
"Agalawatta",0,2,1,3,3,1,3,5,0,3,2,3,1,1,1,3,2,2,3,2,0,3,2,3,5,6,1,2,2,2,1,5,3,0,1,0,2,1,2,0,3,1,1,2,1,0,2,0,0,1,2,3
"Bandaragam",4,0,2,1,1,4,2,1,0,1,2,0,3,2,0,0,0,0,1,0,1,0,1,2,0,9,3,3,4,5,9,10,1,4,1,0,1,1,0,3,2,0,4,5,1,2,3,1,3,0,2,8
"Beruwala(N",5,7,1,11,12,5,5,4,5,5,5,5,2,7,3,1,4,6,12,4,8,3,4,4,8,18,24,10,6,11,14,5,8,2,4,5,5,4,3,2,5,4,0,1,3,3,5,5,15,4,8,2
"Bulathsinh",0,3,0,0,1,0,0,1,4,0,0,1,0,0,4,2,4,1,2,3,1,1,3,2,2,4,5,4,4,1,0,3,7,2,2,5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Horana",1,3,1,2,1,1,0,1,1,2,2,2,0,3,3,3,4,2,2,1,1,1,4,1,5,3,6,6,9,8,2,5,4,0,0,1,0,2,2,0,3,0,3,6,4,0,1,3,2,1,0,1
"Kalutara(N",2,5,9,5,10,4,7,9,1,5,2,1,5,2,0,5,3,2,5,5,5,2,10,5,9,14,7,8,8,10,6,8,7,1,2,6,7,1,0,3,6,4,2,4,1,6,3,5,3,2,1,3
"Matugama",2,5,3,1,9,1,5,3,5,2,1,1,3,9,5,16,10,2,10,5,12,3,7,9,2,16,9,3,12,4,6,2,2,7,6,3,3,0,2,1,3,3,0,3,4,2,1,4,3,1,4,0
"Panadura",15,16,11,14,17,14,15,13,7,10,5,13,1,6,3,9,10,1,5,11,13,11,21,10,14,13,20,22,24,24,21,30,19,8,9,10,7,10,41,20,19,25,46,18,34,26,15,7,21,16,18,4
"Walallavit",4,6,0,6,17,13,5,18,10,9,10,8,9,6,5,6,5,4,3,5,7,5,6,8,4,8,7,6,5,5,4,7,5,4,3,1,2,3,1,1,2,2,3,0,1,2,2,2,0,1,0,0
"Madurawala",3,1,1,1,3,4,1,3,2,1,0,1,1,2,0,1,2,1,0,0,1,2,5,6,3,4,3,1,2,4,2,4,3,3,0,2,1,0,2,1,1,1,3,1,3,2,1,2,0,1,1,1
"Ingiriya",3,2,0,1,1,1,2,4,5,1,1,2,3,1,1,0,1,1,6,1,1,1,1,7,3,4,2,1,1,9,2,4,2,7,9,2,4,0,0,3,1,2,1,3,1,3,1,0,1,1,0,0
"Palinda-Nu",2,3,1,2,3,4,3,2,5,5,0,9,6,1,7,6,18,5,2,2,7,7,11,4,6,9,1,10,6,4,4,12,8,14,6,3,0,1,3,0,5,0,0,1,2,1,0,2,1,0,0,2
"Dodamgoda",1,2,5,1,3,6,7,2,2,2,3,0,3,7,0,8,3,2,3,1,2,1,4,8,5,2,11,2,0,1,2,3,3,1,0,1,1,2,1,2,0,0,0,1,0,0,1,0,2,3,0,0
"Akurana",3,6,1,7,2,3,2,0,0,3,0,0,1,2,0,6,4,3,6,0,4,0,6,6,11,2,10,5,10,26,29,22,33,16,11,6,13,2,4,7,5,14,7,14,4,7,2,4,4,6,3,5
"Galagedara",5,0,2,2,2,1,0,2,0,1,2,1,4,1,0,1,0,0,0,0,2,0,2,3,2,3,2,1,1,3,2,2,3,3,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1
"Gampola(Ud",7,0,7,2,4,3,6,0,1,3,1,2,1,0,1,0,1,1,4,5,6,7,5,6,10,4,8,3,6,2,4,3,1,4,0,1,2,2,1,5,5,2,9,0,3,1,6,0,2,4,4,1
"Gangawata-",1,1,0,4,3,0,1,3,2,0,0,3,0,0,3,1,10,1,5,5,4,5,4,11,8,4,7,3,5,11,12,6,6,5,0,1,1,4,2,1,0,2,2,3,1,3,4,2,6,5,1,4
"Harispattu",5,13,8,13,8,9,7,5,3,0,1,1,4,1,1,5,3,2,3,1,4,3,8,4,5,7,9,4,4,4,4,6,1,5,2,3,2,5,2,1,8,7,2,8,4,6,5,2,2,3,7,3
"Hasalaka(M",0,2,0,1,0,1,0,0,6,1,1,0,0,1,0,0,0,0,1,0,0,2,0,5,0,1,1,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"Doluwa",3,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,1,0,5,2,1,1,0,2,0,2,0,1,2,2,1,2,5,1,1,3,2,0,1,1,2,0,1,0,0,0,3,0,0
"Kundasale",4,2,2,4,0,4,0,1,0,0,3,1,1,4,1,2,1,8,9,3,7,5,3,6,5,4,0,1,5,4,5,1,2,3,1,1,1,0,1,4,1,1,2,1,3,1,2,1,4,5,0,3
"Kurunduwat",2,0,4,1,0,0,1,1,3,0,0,0,0,0,0,2,0,0,1,2,1,1,1,3,0,0,2,1,1,5,3,0,4,3,1,1,0,1,3,2,4,1,5,7,3,0,1,1,2,1,3,4
"MC-Kandy",19,19,12,32,17,9,7,5,1,6,1,0,0,1,1,3,0,3,4,1,6,13,8,2,1,6,2,3,1,1,6,1,2,0,1,5,2,0,8,4,0,1,4,5,1,3,5,8,7,0,6,14
"Medadumbar",0,0,0,0,1,1,2,0,0,0,1,1,1,0,0,1,3,1,0,1,0,0,1,1,5,2,0,4,6,1,1,0,0,0,1,1,0,1,5,0,0,0,0,1,3,5,3,1,1,0,1,0
"Panwila",0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poojapitiy",3,4,5,4,5,2,1,9,0,0,5,0,2,4,1,3,2,1,3,2,3,3,0,10,6,2,8,14,5,14,9,8,5,3,3,2,2,1,0,0,2,1,1,0,0,0,1,0,1,4,0,2
"Nawalapiti",3,0,2,1,0,3,3,1,1,0,0,0,4,1,2,2,0,2,0,1,5,1,5,2,1,3,1,3,2,0,2,7,8,4,1,1,1,0,2,3,4,5,3,2,2,0,0,1,4,3,0,2
"Talatu-Oya",0,5,1,4,0,0,0,2,2,0,0,0,1,2,0,0,6,3,3,0,7,1,0,9,1,1,0,1,0,9,6,0,5,2,0,2,2,0,0,1,2,3,0,0,0,0,0,0,3,1,0,0
"Ududumbara",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0
"Udunuwara",0,1,4,4,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2,2,1,0,1,0,1,1,3,1,0,0,0,5,2,0,1,0,0,1,0,0,0,1,0,1,1,1,1,4,2,0
"Wattegama(",4,4,2,5,12,5,2,3,2,3,2,3,3,1,3,7,8,8,6,6,7,4,3,3,2,2,5,7,6,7,6,2,2,4,3,4,1,3,1,4,0,3,1,2,1,0,6,1,4,3,4,7
"Yatinuwara",1,2,3,0,4,1,0,1,2,0,5,1,2,4,0,1,3,3,2,0,7,4,1,5,0,2,1,0,2,0,9,4,1,1,1,4,0,6,0,2,5,0,4,2,3,2,2,0,4,0,6,4
"Hataraliya",1,0,0,1,0,0,1,5,2,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,1,1,1,1,1,2,0,2,1,3,0,0,0,0,0,0,0,4,0,0,1,0,0,1,2,0,0,0
"Galaha",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"Manikhinna",1,0,0,0,4,0,3,1,0,1,2,1,2,2,0,0,1,1,2,0,3,4,1,2,0,1,1,7,4,2,3,3,0,3,1,1,0,2,2,0,2,5,1,0,1,1,4,1,1,0,4,0
"Bambaraden",2,1,1,1,0,0,3,4,0,3,0,0,0,1,1,0,0,0,1,1,0,2,0,0,1,0,0,1,2,1,1,1,1,2,1,1,2,0,0,1,1,2,1,1,0,1,0,1,0,0,1,1
"Dabmulla",1,2,0,0,3,2,4,0,0,2,0,0,2,0,0,1,0,0,1,1,0,1,0,2,1,1,2,1,0,0,0,3,0,1,0,1,4,0,1,1,0,1,0,0,0,1,1,1,6,4,0,6
