"id","moh"
"288","MC-Matara"
"289","Devinuwara"
"290","Mahawewa"
"291","Sevanagala"
"292","Ingiriya"
"293","Kiriella"
"294","Kantale"
"295","MC-Kurunegala"
"296","Irakkamam"
"297","Palagala"
"298","Boralesgamuwa"
"299","MC- Negambo"
"300","Sammanthurai"
"301","Manikhinna"
"302","Thampalakamam"
"303","Opanayaka"
"304","Weligepola"
"305","Weeraketiya"
"306","Marawila"
"307","Kurunduwatta"
"308","Panwila"
"309","Pallama"
"310","Mundel"
"311","Okewela"
"312","Mallawapitiya"
"313","Lindula(Th"
"314","Bulathsinhala"
"315","Medadumbara"
"316","Ukuwela"
"317","Poonakari"
"318","Sainthamaruthu"
"319","Poojapitiya"
"320","Nintavur"
"321","Walapone"
