MOH_name,MOH_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Horowpatha,102,27.9380984369,27.5588687972,29.5946580313,28.8332038737,29.1825639101,28.9728872344,29.6111782628,30.3623710859,30.2163982333,31.1728555574,31.1570991887,31.7953066069,32.9690627283,33.0128293484,33.651141969,34.0917183063,34.2946894253,34.2457687925,33.4354567383,34.1790657432,34.1470230931,33.5483580938,33.3026550333,33.7710700652,33.7949756167,33.9782080179,33.9254317374,33.7168238421,32.9528971667,33.9643613362,34.9844600898,33.4696832766,33.1451333297,35.1244420308,33.3907719294,31.9688714106,32.6029450708,34.777923503,36.3495394476,36.8402409838,35.6626533296,32.3937104818,34.2224736023,32.6072499038,30.6925905235,29.7124983006,30.5605339924,29.8378347957,27.5894042527,29.3548418845,28.3735089528,28.8967711823
Vakarai,83,27.9656376662,28.1121229676,29.4809420066,28.3281165343,29.3082530577,29.0371785195,29.8945983553,30.7744433257,30.7088141046,31.0289776215,31.5579776158,31.9277325663,33.3662823248,33.7808952482,34.012705669,34.6958762758,34.8775152421,34.4500072516,33.7252729892,34.5595527636,34.5100222736,33.945170976,33.9409008715,34.0749977837,34.2124135356,34.1682476002,34.2535047178,34.0813972148,33.783900757,34.3769259699,35.0701593384,34.5367915202,34.3939804027,35.5868352504,34.0639831575,32.9404669794,33.1633194713,35.0747775932,36.5152454849,36.4406279358,35.9849560144,33.5434231616,35.1375600497,32.9962687789,31.0614115469,30.3028011056,30.8866486037,29.6316691605,27.9612682569,29.6370973396,28.1462729965,28.9329001001
Bulathsinhala,314,29.4285711561,30.3428562709,33.4714290074,33.1714281355,34.999999455,33.0142860413,32.2285717555,34.0428570339,33.2285714831,34.399999891,34.2571427481,33.7857142857,34.6428571429,33.928571701,34.1714286804,34.8142852783,34.1142856053,31.9571432386,32.02857181,31.6428568704,31.3285715921,30.2714285169,30.100000109,29.9000004359,29.7714285169,30.4142856598,29.8857143947,30.300000327,30.3142855508,30.4428569249,30.6714284079,30.0428570339,31.8285715921,32.0714285714,32.8142860957,29.7571427481,29.9428571973,30.5428567614,33.099999564,32.1857139043,31.1428574153,30.8285718645,32.0428567614,32.200000218,32.7999992371,32.2285706656,32.3142858233,32.0428567614,30.7714285169,31.6142850603,32.2428575243,32.171427863
Thampalakamam,302,27.5714285714,27.0857143402,28.9857145037,28.1857144492,28.600000109,28.4142859323,29.1999999455,29.7142857143,29.7285717555,30.6285713741,30.3142858233,30.8714286259,31.9857139587,32.5571430751,33.1999999455,33.5857143402,34.2571427481,34.4285719735,33.799999782,34.6857147217,34.7571432931,33.9857139587,33.6142856053,34.0571430751,34.0428570338,34.200000218,34.1142856053,33.7285712106,33,33.8857138497,35.1714286804,33.7142854418,33.428571701,35.4428569249,31.9857145037,32.9571429661,32.8857143947,35.4428563799,37.1142861502,37.600000109,36.199999673,32.0571425302,34.9571424212,32.4857139588,30.3428570884,29.200000218,29.8857143947,28.3857143947,26.9571432386,29.0142857688,27.899999891,28.4714284624
Baddegama,200,28.7571427482,29.9428566524,29.8142855508,30.7428569794,30.7714285169,30.728572028,30.2571427482,30.2571430206,30.328571592,32.3571425847,32.3285715921,31.1571426392,31.4714290074,31.5999998365,31.8999996185,31.8285707746,32.1428571428,30.7571427482,30.5285712651,29.6285713741,29.9428571973,29.2285714831,28.9857142312,28.8857143947,28.799999782,28.9000001635,28.7857142857,28.3857143947,28.699999673,28.6714286804,28.828571592,27.7571430206,28.7142857143,28.6999999455,28.9857139588,28.8428573608,28.5285715376,28.5428573064,29.6142861502,29.4142859323,29.4142856598,28.2285714831,29.1285716465,29.6428571429,30.299999782,30.5000002725,30.1428574153,29.9571426937,29.7571430206,29.2571427482,29.1857141767,28.9857145037
Katana,105,29.1571429116,29.7714285169,31.9285711561,31.8142860957,33.400000436,32.6142850603,30.5857143402,32.6857141767,32.5000005449,32.9142864772,32.9285719735,32.7285712106,32.4857145037,32.799999782,32.2285717555,32.3285713196,32.6142850603,31.0142857688,31.8714286259,31.100000109,30.9857142312,29.5000002725,29.6714284079,29.4857145037,29.5857146127,29.5142857688,30.1714289529,30.1142858777,29.5857143402,29.2428572518,30.1571426391,29.2142857143,30.2428572518,30.9285714286,31.2857142857,29.2857140132,29.5857143402,29.5857143402,30.928571701,31.0714285714,30.9285714286,30.6999999455,30.6285713741,30.9571429661,31.8285713196,31.0285715375,30.8571431296,31.100000109,30.6285713741,30.1857144492,31.2285709381,31.2428572518
Medagama,274,26.3999996185,26.3428573608,29.0142857688,26.5428573064,29.1142858778,28.5857140677,28.2285712106,29.7285714831,29.8285713196,30.5142860413,30.9857142312,31.4142856598,31.7999995095,31.7142859868,30.9428571974,31.5571430751,31.0571430751,30.0714285714,29.1999999455,29.899999891,29.2571427482,27.700000218,27.2285714831,26.6571431841,26.5571430751,27.7142857143,27.0571433476,27.100000109,27.3714288984,27.7142857143,27.5428573063,27.9857139588,28.3000000545,28.6428574153,30.399999891,26.8428570884,26.5,27.5428573063,29.5,29.5571430751,28.5714285714,28.6999999455,29.1428574153,29.8000000545,30.1285716466,28.9714287349,29.1428574153,28.4857145037,26.2000004905,27.8142858233,27.2285714831,27.7285714831
Karandeniya,223,28.7571427482,29.9428566524,29.8142855508,30.7428569794,30.7714285169,30.728572028,30.2571427482,30.2571430206,30.328571592,32.3571425847,32.3285715921,31.1571426392,31.4714290074,31.5999998365,31.8999996185,31.8285707746,32.1428571428,30.7571427482,30.5285712651,29.6285713741,29.9428571973,29.2285714831,28.9857142312,28.8857143947,28.799999782,28.9000001635,28.7857142857,28.3857143947,28.699999673,28.6714286804,28.828571592,27.7571430206,28.7142857143,28.6999999455,28.9857139588,28.8428573608,28.5285715376,28.5428573064,29.6142861502,29.4142859323,29.4142856598,28.2285714831,29.1285716465,29.6428571429,30.299999782,30.5000002725,30.1428574153,29.9571426937,29.7571430206,29.2571427482,29.1857141767,28.9857145037
Walallavita,30,28.9930289686,30.0833845137,31.099113147,31.5960625694,32.2570100092,31.5315890483,30.9497451639,31.5871400233,31.3473995197,33.0748391895,33.006117188,32.0806123992,32.5856151027,32.4180736766,32.6979980499,32.877511959,32.8354593671,31.1787269064,31.0555514389,30.336230131,30.4296863622,29.5949480039,29.3771851327,29.2420533548,29.1412821138,29.4319989263,29.1721663111,29.0582413059,29.2671305686,29.2937668305,29.476004027,28.5601600409,29.8083965923,29.8844502107,30.3307678769,29.1640640924,29.0254383589,29.2454970914,30.8388869458,30.3879439748,30.0215674686,29.1420035865,30.1524182589,30.541232618,31.1782995612,31.1072816027,30.9057236181,30.6898957354,30.1134817893,30.0852539576,30.2597497417,30.1049192837
Kilinochchi,203,29.7136895935,28.1868593887,29.4515877374,29.611162273,29.9167440032,29.6975165473,29.5734637029,30.5902513556,31.0196762592,31.5515361349,32.0607176704,32.1440212212,33.603844942,33.280409005,33.7464610728,33.2250129673,33.278600762,33.69428629,32.3802004864,32.2194861252,31.8897243887,32.0454382531,32.1834470171,31.9708362763,32.116516858,31.7631937777,32.751433533,31.6935444378,31.0284350204,31.8901164394,32.1323728064,31.606444941,30.0954402904,31.8963905871,33.2842653267,30.5457669878,30.0457629195,31.0282074544,31.4324142234,31.9904922364,32.0550232679,31.690875321,31.0532390571,31.4823132598,29.9904266222,29.4449195296,30.0598235487,29.4124736798,28.2857179812,29.0159253273,28.3033809514,28.4408421214
